01. Ano,02. Nome Região (Portugal),03. Âmbito Geográfico,04. Filtro 1,05. Filtro 2,06. Filtro 3,07. Escala,08. Símbolo,09. Valor
2012,Portugal,,Básico - 1º ciclo,,,,,140281.8
2012,Portugal,,Básico - 2º ciclo,,,,,106316.8
2012,Portugal,,Básico - 3º ciclo,,,,,137989.6
2012,Portugal,,Nenhum,,,,,31794.8
2012,Portugal,,Secundário,,,,,143785.1
2012,Portugal,,Superior,,,,,74276.8
2012,Portugal,,Total,,,,,634444.9
2013,Portugal,,Básico - 1º ciclo,,,,,143253.8
2013,Portugal,,Básico - 2º ciclo,,,,,107529.8
2013,Portugal,,Básico - 3º ciclo,,,,,138065.7
2013,Portugal,,Nenhum,,,,,35246.7
2013,Portugal,,Secundário,,,,,157641.0
2013,Portugal,,Superior,,,,,89979.6
2013,Portugal,,Total,,,,,671716.4
2014,Portugal,,Básico - 1º ciclo,,,,,130252.5
2014,Portugal,,Básico - 2º ciclo,,,,,95411.2
2014,Portugal,,Básico - 3º ciclo,,,,,120932.5
2014,Portugal,,Nenhum,,,,,33790.9
2014,Portugal,,Secundário,,,,,141989.1
2014,Portugal,,Superior,,,,,82189.9
2014,Portugal,,Total,,,,,604566.1
2015,Portugal,,Básico - 1º ciclo,,,,,110486.5
2015,Portugal,,Básico - 2º ciclo,,,,,82273.7
2015,Portugal,,Básico - 3º ciclo,,,,,104641.2
2015,Portugal,,Nenhum,,,,,30338.5
2015,Portugal,,Secundário,,,,,126805.3
2015,Portugal,,Superior,,,,,72792.0
2015,Portugal,,Total,,,,,527337.1
2016,Portugal,,Básico - 1º ciclo,,,,,97793.3
2016,Portugal,,Básico - 2º ciclo,,,,,75959.4
2016,Portugal,,Básico - 3º ciclo,,,,,97130.0
2016,Portugal,,Nenhum,,,,,29128.8
2016,Portugal,,Secundário,,,,,122332.3
2016,Portugal,,Superior,,,,,69233.5
2016,Portugal,,Total,,,,,491577.3
2017,Portugal,,Básico - 1º ciclo,,,,,79381.8
2017,Portugal,,Básico - 2º ciclo,,,,,61579.6
